x,y,dx,dy
0.1776967,25,0,-4.5
0.4656354,25,0,-4.5
0.7535741,25,0,-4.5
1.0415129,25,0,-4.5
1.3294516,25,0,-4.5
1.6173903,25,0,-4.5
1.905329,25,0,-4.5
2.1932678,25,0,-4.5
2.4812065,25,0,-4.5
2.7691452,25,0,-4.5
3.0570839,25,0,-4.5
3.3450226,25,0,-4.5
3.6329614,25,0,-4.5
3.9209001,25,0,-4.5
4.2088388,25,0,-4.5
4.4967775,25,0,-4.5
4.7847162,25,0,-4.5
5.072655,25,0,-4.5
5.3605937,25,0,-4.5
5.6485324,25,0,-4.5
5.9364711,25,0,-4.5
6.2244099,25,0,-4.5
6.5123486,25,0,-4.5
6.8002873,25,0,-4.5
7.088226,25,0,-4.5
7.3761647,25,0,-4.5
7.6641035,25,0,-4.5
7.9520422,25,0,-4.5
8.2399809,25,0,-4.5
8.5279196,25,0,-4.5
8.8158584,25,0,-4.5
9.1037971,25,0,-4.5
9.3917358,25,0,-4.5
9.6796745,25,0,-4.5
9.9676132,25,0,-4.5
10.255552,25,0,-4.5
10.5434907,25,0,-4.5
10.8314294,25,0,-4.5
11.1193681,25,0,-4.5
11.4073068,25,0,-4.5
11.6952456,25,0,-4.5
11.9831843,25,0,-4.5
12.271123,25,0,-4.5
12.5590617,25,0,-4.5
12.8470005,25,0,-4.5
13.1349392,25,0,-4.5
13.4228779,25,0,-4.5
13.7108166,25,0,-4.5
13.9987553,25,0,-4.5
14.2866941,25,0,-4.5
14.5746328,25,0,-4.5
14.8625715,25,0,-4.5
15.1505102,25,0,-4.5
15.4384489,25,0,-4.5
15.7263877,25,0,-4.5
16.0143264,25,0,-4.5
16.3022651,25,0,-4.5
16.5902038,25,0,-4.5
16.8781426,25,0,-4.5
17.1660813,25,0,-4.5
17.45402,25,0,-4.5
17.7419587,25,0,-4.5
18.0298974,25,0,-4.5
18.3178362,25,0,-4.5
18.6057749,25,0,-4.5
18.8937136,25,0,-4.5
19.1816523,25,0,-4.5
19.4695911,25,0,-4.5
19.7575298,25,0,-4.5
20.0454685,25,0,-4.5
20.3334072,25,0,-4.5
20.6213459,25,0,-4.5
20.9092847,25,0,-4.5
21.1972234,25,0,-4.5
21.4851621,25,0,-4.5
21.7731008,25,0,-4.5
22.0610395,25,0,-4.5
22.3489783,25,0,-4.5
22.636917,25,0,-4.5
22.9248557,25,0,-4.5
23.2127944,25,0,-4.5
23.5007332,25,0,-4.5
23.7886719,25,0,-4.5
24.0766106,25,0,-4.5
24.3645493,25,0,-4.5
24.652488,25,0,-4.5
24.9404268,25,0,-4.5
25.2283655,25,0,-4.5
25.5163042,25,0,-4.5
25.8042429,25,0,-4.5
26.0921817,25,0,-4.5
26.3801204,25,0,-4.5
26.6680591,25,0,-4.5
26.9559978,25,0,-4.5
27.2439365,25,0,-4.5
27.5318753,25,0,-4.5
27.819814,25,0,-4.5
28.1077527,25,0,-4.5
28.3956914,25,0,-4.5
28.6836301,25,0,-4.5
28.9715689,25,0,-4.5
29.2595076,25,0,-4.5
29.5474463,25,0,-4.5
29.835385,25,0,-4.5
30.1233238,25,0,-4.5
30.4112625,25,0,-4.5
30.6992012,25,0,-4.5
30.9871399,25,0,-4.5
31.2750786,25,0,-4.5
31.5630174,25,0,-4.5
31.8509561,25,0,-4.5
32.1388948,25,0,-4.5
32.4268335,25,0,-4.5
32.7147723,25,0,-4.5
33.002711,25,0,-4.5
33.2906497,25,0,-4.5
33.5785884,25,0,-4.5
33.8665271,25,0,-4.5
34.1544659,25,0,-4.5
34.4424046,25,0,-4.5
34.7303433,25,0,-4.5
35.018282,25,0,-4.5
35.3062207,25,0,-4.5
35.5941595,25,0,-4.5
35.8820982,25,0,-4.5
36.1700369,25,0,-4.5
36.4579756,25,0,-4.5
36.7459144,25,0,-4.5
37.0338531,25,0,-4.5
37.3217918,25,0,-4.5
37.6097305,25,0,-4.5
37.8976692,25,0,-4.5
38.185608,25,0,-4.5
38.4735467,25,0,-4.5
38.7614854,25,0,-4.5
39.0494241,25,0,-4.5
39.3373628,25,0,-4.5
39.6253016,25,0,-4.5
39.9132403,25,0,-4.5
40.201179,25,0,-4.5
40.4891177,25,0,-4.5
40.7770565,25,0,-4.5
41.0649952,25,0,-4.5
41.3529339,25,0,-4.5
41.6408726,25,0,-4.5
41.9288113,25,0,-4.5
42.2167501,25,0,-4.5
42.5046888,25,0,-4.5
42.7926275,25,0,-4.5
43.0805662,25,0,-4.5
43.368505,25,0,-4.5
43.6564437,25,0,-4.5
43.9443824,25,0,-4.5
44.2323211,25,0,-4.5
44.5202598,25,0,-4.5
44.8081986,25,0,-4.5
45.0961373,25,0,-4.5
45.384076,25,0,-4.5
45.6720147,25,0,-4.5
45.9599534,25,0,-4.5
46.2478922,25,0,-4.5
46.5358309,25,0,-4.5
46.8237696,25,0,-4.5
47.1117083,25,0,-4.5
47.3996471,25,0,-4.5
47.6875858,25,0,-4.5
47.9755245,25,0,-4.5
48.2634632,25,0,-4.5
48.5514019,25,0,-4.5
48.8393407,25,0,-4.5
49.1272794,25,0,-4.5
49.4152181,25,0,-4.5
49.7031568,25,0,-4.5
49.9910956,25,0,-4.5
50.2790343,25,0,-4.5
50.566973,25,0,-4.5
50.8549117,25,0,-4.5
51.1428504,25,0,-4.5
51.4307892,25,0,-4.5
51.7187279,25,0,-4.5
52.0066666,25,0,-4.5
52.2946053,25,0,-4.5
52.582544,25,0,-4.5
52.8704828,25,0,-4.5
53.1584215,25,0,-4.5
53.4463602,25,0,-4.5
53.7342989,25,0,-4.5
54.0222377,25,0,-4.5
54.3101764,25,0,-4.5
54.5981151,25,0,-4.5
54.8860538,25,0,-4.5
55.1739925,25,0,-4.5
55.4619313,25,0,-4.5
55.74987,25,0,-4.5
56.0378087,25,0,-4.5
56.3257474,25,0,-4.5
56.6136862,25,0,-4.5
56.9016249,25,0,-4.5
57.1895636,25,0,-4.5
57.4775023,25,0,-4.5
57.765441,25,0,-4.5
58.0533798,25,0,-4.5
58.3413185,25,0,-4.5
58.6292572,25,0,-4.5
58.9171959,25,0,-4.5
59.2051346,25,0,-4.5
59.4930734,25,0,-4.5
59.7810121,25,0,-4.5
60.0689507,24.9999049,-0.0124111,-4.4999829
60.3568774,24.9974526,-0.0642379,-4.4995415
60.6447568,24.9916844,-0.1160562,-4.4985032
60.9325506,24.9826009,-0.1678591,-4.4968682
61.2202207,24.9702035,-0.2196397,-4.4946366
61.5077289,24.9544937,-0.2713912,-4.4918089
61.7950372,24.9354736,-0.3231067,-4.4883852
62.0821073,24.9131457,-0.3747793,-4.4843662
62.3689012,24.8875131,-0.4264022,-4.4797524
62.6553809,24.858579,-0.4779686,-4.4745442
62.9415084,24.8263475,-0.5294715,-4.4687425
63.2272456,24.7908226,-0.5809042,-4.4623481
63.5125548,24.7520092,-0.6322599,-4.4553617
63.797398,24.7099124,-0.6835316,-4.4477842
64.0817374,24.6645377,-0.7347127,-4.4396168
64.3655354,24.6158912,-0.7857964,-4.4308604
64.6487544,24.5639794,-0.8367758,-4.4215163
64.9313566,24.5088091,-0.8876442,-4.4115856
65.2133047,24.4503876,-0.9383948,-4.4010698
65.4945612,24.3887227,-0.989021,-4.3899701
65.7750889,24.3238227,-1.039516,-4.3782881
66.0548505,24.2556959,-1.0898731,-4.3660253
