x,y,width
2.39735784,2.1,0.465
2.3931759,2.1,0.465
2.38899396,2.1,0.465
2.38481199,2.1,0.465
2.38063005,2.1,0.465
2.37644811,2.1,0.465
2.37226617,2.1,0.465
2.3680842,2.1,0.465
2.36390226,2.1,0.465
2.35972032,2.1,0.465
2.35553838,2.1,0.465
2.35135644,2.1,0.465
2.34717447,2.1,0.465
2.34299253,2.1,0.465
2.33881059,2.1,0.465
2.33462865,2.1,0.465
2.33044668,2.1,0.465
2.32626474,2.1,0.465
2.3220828,2.1,0.465
2.31790086,2.1,0.465
2.31371892,2.1,0.465
2.30953695,2.1,0.465
2.30535501,2.1,0.465
2.30117307,2.1,0.465
2.29699113,2.1,0.465
2.29280916,2.1,0.465
2.28862722,2.1,0.465
2.28444528,2.1,0.465
2.28026334,2.1,0.465
2.27608137,2.1,0.465
2.27189943,2.1,0.465
2.26771749,2.1,0.465
2.26353555,2.1,0.465
2.25935361,2.1,0.465
2.25517164,2.1,0.465
2.2509897,2.1,0.465
2.24680776,2.1,0.465
2.24262582,2.1,0.465
2.23844385,2.1,0.465
2.23426191,2.1,0.465
2.23007997,2.1,0.465
2.22589803,2.1,0.465
2.22171609,2.1,0.465
2.21753412,2.1,0.465
2.21335218,2.1,0.465
2.20917024,2.1,0.465
2.2049883,2.1,0.465
2.20080633,2.1,0.465
2.19662439,2.1,0.465
2.19244245,2.1,0.465
2.18826051,2.1,0.465
2.18407857,2.1,0.465
2.1798966,2.1,0.465
2.17571466,2.1,0.465
2.17153272,2.1,0.465
2.16735078,2.1,0.465
2.16316881,2.1,0.465
2.15898687,2.1,0.465
2.15480493,2.1,0.465
2.15062299,2.1,0.465
2.14644105,2.1,0.465
2.14225908,2.1,0.465
2.13807714,2.1,0.465
2.1338952,2.1,0.465
2.12971326,2.1,0.465
2.12553129,2.1,0.465
2.12134935,2.1,0.465
2.11716741,2.1,0.465
2.11298547,2.1,0.465
2.10880353,2.1,0.465
2.10462156,2.1,0.465
2.10043962,2.1,0.465
2.09625768,2.1,0.465
2.09207574,2.1,0.465
2.08789377,2.1,0.465
2.08371183,2.1,0.465
2.07952989,2.1,0.465
2.07534795,2.1,0.465
2.07116601,2.1,0.465
2.06698404,2.1,0.465
2.0628021,2.1,0.465
2.05862016,2.1,0.465
2.05443822,2.1,0.465
2.05025625,2.1,0.465
2.04607431,2.1,0.465
2.04189237,2.1,0.465
2.03771043,2.1,0.465
2.03352849,2.1,0.465
2.02934652,2.1,0.465
2.02516458,2.1,0.465
2.02098264,2.1,0.465
2.0168007,2.1,0.465
2.01261873,2.1,0.465
2.00843679,2.1,0.465
2.00425485,2.1,0.465
2.00007291,2.1,0.465
1.99589097,2.1,0.465
1.991709,2.1,0.465
1.98752706,2.1,0.465
1.98334512,2.1,0.465
1.97916318,2.1,0.465
1.97498121,2.1,0.465
1.97079927,2.1,0.465
1.96661733,2.1,0.465
1.96243539,2.1,0.465
1.95825342,2.1,0.465
1.95407148,2.1,0.465
1.94988954,2.1,0.465
1.9457076,2.1,0.465
1.94152566,2.1,0.465
1.93734369,2.1,0.465
1.93316175,2.1,0.465
1.92897981,2.1,0.465
1.92479787,2.1,0.465
1.9206159,2.1,0.465
1.91643396,2.1,0.465
1.91225202,2.1,0.465
1.90807008,2.1,0.465
1.90388814,2.1,0.465
1.89970617,2.1,0.465
1.89552423,2.1,0.465
1.89134229,2.1,0.465
1.88716035,2.1,0.465
1.88297838,2.1,0.465
1.87879644,2.1,0.465
1.8746145,2.1,0.465
1.87043256,2.1,0.465
1.86625062,2.1,0.465
1.86206865,2.1,0.465
1.85788671,2.1,0.465
1.85370477,2.1,0.465
1.84952283,2.1,0.465
1.84534086,2.1,0.465
1.84115892,2.1,0.465
1.83697698,2.1,0.465
1.83279504,2.1,0.465
1.8286131,2.1,0.465
1.82443113,2.1,0.465
1.82024919,2.1,0.465
1.81606725,2.1,0.465
1.81188531,2.1,0.465
1.80770334,2.1,0.465
1.8035214,2.1,0.465
1.79933946,2.1,0.465
1.79515752,2.1,0.465
1.79097558,2.1,0.465
1.78679361,2.1,0.465
1.78261167,2.1,0.465
1.77842973,2.1,0.465
1.77424779,2.1,0.465
1.77006582,2.1,0.465
1.76588388,2.1,0.465
1.76170194,2.1,0.465
1.75752,2.1,0.465
1.75333806,2.1,0.465
1.74915609,2.1,0.465
1.74497415,2.1,0.465
1.74079221,2.1,0.465
1.73661027,2.1,0.465
1.7324283,2.1,0.465
1.72824636,2.1,0.465
1.72406442,2.1,0.465
1.71988248,2.1,0.465
1.71570054,2.1,0.465
1.71151857,2.1,0.465
1.70733663,2.1,0.465
1.70315469,2.1,0.465
1.69897275,2.1,0.465
1.69479078,2.1,0.465
1.69060884,2.1,0.465
1.6864269,2.1,0.465
1.68224496,2.1,0.465
1.67806302,2.1,0.465
1.67388105,2.1,0.465
1.66969911,2.1,0.465
1.66551717,2.1,0.465
1.66133523,2.1,0.465
1.65715326,2.1,0.465
1.65297132,2.1,0.465
1.64878938,2.1,0.465
1.64460744,2.1,0.465
1.64042547,2.1,0.465
1.63624353,2.1,0.465
1.63206159,2.1,0.465
1.62787965,2.1,0.465
1.62369771,2.1,0.465
1.61951574,2.1,0.465
1.6153338,2.1,0.465
1.61115186,2.1,0.465
1.60696992,2.1,0.465
1.60278795,2.1,0.465
1.59860601,2.1,0.465
1.59442407,2.1,0.465
1.59024213,2.1,0.465
1.58606019,2.1,0.465
1.58187822,2.1,0.465
1.57769628,2.1,0.465
1.57351434,2.1,0.465
1.5693324,2.1,0.465
1.56515043,2.1,0.465
1.56096849,2.1,0.465
1.55678655,2.1,0.465
1.55260461,2.1,0.465
1.54842267,2.1,0.465
1.5442407,2.1,0.465
1.54005876,2.1,0.465
1.53587682,2.1,0.465
1.53169488,2.1,0.465
1.52751291,2.1,0.465
1.52333097,2.1,0.465
1.51914903,2.1,0.465
1.51496709,2.1,0.465
1.51078515,2.1,0.465
1.50660318,2.1,0.465
1.50242124,2.1,0.465
1.4982393,2.1,0.465
1.49405736,2.1,0.465
1.48987539,2.1,0.465
1.48569345,2.1,0.465
1.48151151,2.1,0.465
1.47732957,2.1,0.465
1.47314763,2.1,0.465
1.46896566,2.1,0.465
1.46478372,2.1,0.465
1.46060178,2.1,0.465
1.45641984,2.1,0.465
1.45223787,2.1,0.465
1.44805593,2.1,0.465
1.44387399,2.1,0.465
1.43969205,2.1,0.465
1.43551011,2.1,0.465
1.43132814,2.1,0.465
1.4271462,2.1,0.465
1.42296426,2.1,0.465
1.41878232,2.1,0.465
1.41460035,2.1,0.465
1.41041841,2.1,0.465
1.40623647,2.1,0.465
1.40205453,2.1,0.465
1.39787259,2.1,0.465
1.39369062,2.1,0.465
1.38950868,2.1,0.465
1.38532674,2.1,0.465
1.3811448,2.1,0.465
1.37696283,2.1,0.465
1.37278089,2.1,0.465
1.36859895,2.1,0.465
1.36441701,2.1,0.465
1.36023507,2.1,0.465
1.3560531,2.1,0.465
1.35187116,2.1,0.465
1.34768922,2.1,0.465
1.34350728,2.1,0.465
1.33932531,2.1,0.465
1.33514337,2.1,0.465
1.33096143,2.1,0.465
1.32677949,2.1,0.465
1.32259752,2.1,0.465
1.31841558,2.1,0.465
1.31423364,2.1,0.465
1.3100517,2.1,0.465
