x,y,width
0,0,0.1
0.004,0,0.1
0.008,0,0.1
0.012,0,0.1
0.016,0,0.1
0.02,0,0.1
0.024,0,0.1
0.028,0,0.1
0.032,0,0.1
0.036,0,0.1
0.04,0,0.1
0.044,0,0.1
0.048,0,0.1
0.052,0,0.1
0.056,0,0.1
0.06,0,0.1
0.064,0,0.1
0.068,0,0.1
0.072,0,0.1
0.076,0,0.1
0.08,0,0.1
0.084,0,0.1
0.088,0,0.1
0.092,0,0.1
0.096,0,0.1
0.1,0,0.1
0.104,0,0.1
0.108,0,0.1
0.112,0,0.1
0.116,0,0.1
0.12,0,0.1
0.124,0,0.1
0.128,0,0.1
0.132,0,0.1
0.136,0,0.1
0.14,0,0.1
0.144,0,0.1
0.148,0,0.1
0.152,0,0.1
0.156,0,0.1
0.16,0,0.1
0.164,0,0.1
0.168,0,0.1
0.172,0,0.1
0.176,0,0.1
0.18,0,0.1
0.184,0,0.1
0.188,0,0.1
0.192,0,0.1
0.196,0,0.1
0.2,0,0.1
0.204,0,0.1
0.208,0,0.1
0.212,0,0.1
0.216,0,0.1
0.22,0,0.1
0.224,0,0.1
0.228,0,0.1
0.232,0,0.1
0.236,0,0.1
0.24,0,0.1
0.244,0,0.1
0.248,0,0.1
0.252,0,0.1
0.256,0,0.1
0.26,0,0.1
0.264,0,0.1
0.268,0,0.1
0.272,0,0.1
0.276,0,0.1
0.28,0,0.1
0.284,0,0.1
0.288,0,0.1
0.292,0,0.1
0.296,0,0.1
0.3,0,0.1
0.304,0,0.1
0.308,0,0.1
0.312,0,0.1
0.316,0,0.1
0.32,0,0.1
0.324,0,0.1
0.328,0,0.1
0.332,0,0.1
0.336,0,0.1
0.34,0,0.1
0.344,0,0.1
0.348,0,0.1
0.352,0,0.1
0.356,0,0.1
0.36,0,0.1
0.364,0,0.1
0.368,0,0.1
0.372,0,0.1
0.376,0,0.1
0.38,0,0.1
0.384,0,0.1
0.388,0,0.1
0.392,0,0.1
0.396,0,0.1
0.4,0,0.1
0.404,0,0.1
0.408,0,0.1
0.412,0,0.1
0.416,0,0.1
0.42,0,0.1
0.424,0,0.1
0.428,0,0.1
0.432,0,0.1
0.436,0,0.1
0.44,0,0.1
0.444,0,0.1
0.448,0,0.1
0.452,0,0.1
0.456,0,0.1
0.46,0,0.1
0.464,0,0.1
0.468,0,0.1
0.472,0,0.1
0.476,0,0.1
0.48,0,0.1
0.484,0,0.1
0.488,0,0.1
0.492,0,0.1
0.496,0,0.1
0.5,0,0.1
0.504,0,0.1
0.508,0,0.1
0.512,0,0.1
0.516,0,0.1
0.52,0,0.1
0.524,0,0.1
0.528,0,0.1
0.532,0,0.1
0.536,0,0.1
0.54,0,0.1
0.544,0,0.1
0.548,0,0.1
0.552,0,0.1
0.556,0,0.1
0.56,0,0.1
0.564,0,0.1
0.568,0,0.1
0.572,0,0.1
0.576,0,0.1
0.58,0,0.1
0.584,0,0.1
0.588,0,0.1
0.592,0,0.1
0.596,0,0.1
0.6,0,0.1
0.604,0,0.1
0.608,0,0.1
0.612,0,0.1
0.616,0,0.1
0.62,0,0.1
0.624,0,0.1
0.628,0,0.1
0.632,0,0.1
0.636,0,0.1
